     n    Date        Open    High    Low    Close     Volume
     1  10110900     42.14   42.15   42.12   42.12      5235
     2  10110905     42.12   42.13   42.11   42.12      7441
     3  10110910     42.12   42.14   42.12   42.12      4268
     4  10110915     42.12   42.12   42.11   42.12      4012
     5  10110920     42.11   42.12   42.09   42.10     13081
     6  10110925     42.09   42.12   42.07   42.11     12244
     7  10110930     42.11   42.32   42.11   42.24   1024460
     8  10110935     42.25   42.38   42.23   42.33    544871
     9  10110940     42.34   42.37   42.27   42.30    406701
    10  10110945     42.30   42.31   42.18   42.20    398542
    11  10110950     42.21   42.27   42.14   42.26    369892
    12  10110955     42.26   42.31   42.24   42.31    331917
    13  10111000     42.30   42.37   42.29   42.31    406755
    14  10111005     42.31   42.39   42.30   42.34    330723
    15  10111010     42.34   42.34   42.27   42.30    282759
    16  10111015     42.30   42.35   42.29   42.34    245214
    17  10111020     42.34   42.41   42.33   42.40    386289
    18  10111025     42.41   42.45   42.38   42.41    499939
    19  10111030     42.41   42.43   42.32   42.34    289884
    20  10111035     42.34   42.36   42.33   42.36    146426
    21  10111040     42.36   42.39   42.34   42.35    167136
    22  10111045     42.34   42.34   42.24   42.25    358209
    23  10111050     42.25   42.28   42.23   42.25    187720
    24  10111055     42.25   42.31   42.24   42.29    175859
    25  10111100     42.29   42.33   42.27   42.30    121743
    26  10111105     42.30   42.31   42.26   42.30    110676
    27  10111110     42.30   42.32   42.27   42.31    152959
    28  10111115     42.31   42.33   42.29   42.30    102585
    29  10111120     42.29   42.35   42.29   42.33    103329
    30  10111125     42.33   42.35   42.31   42.32     87080
    31  10111130     42.32   42.35   42.32   42.33     96513
    32  10111135     42.33   42.37   42.32   42.36    163193
    33  10111140     42.36   42.36   42.31   42.32     95047
    34  10111145     42.32   42.34   42.30   42.31     75630
    35  10111150     42.31   42.32   42.29   42.30     88797
    36  10111155     42.30   42.31   42.27   42.30    137364
    37  10111200     42.30   42.31   42.28   42.30     85083
    38  10111205     42.30   42.31   42.27   42.29     87150
    39  10111210     42.29   42.33   42.28   42.33     76532
    40  10111215     42.32   42.34   42.30   42.33     67645
    41  10111220     42.34   42.34   42.31   42.33     57929
    42  10111225     42.34   42.35   42.32   42.34     50145
    43  10111230     42.33   42.36   42.32   42.35     62073
    44  10111235     42.35   42.40   42.34   42.37    124242
    45  10111240     42.37   42.38   42.36   42.37     52218
    46  10111245     42.37   42.37   42.34   42.34     67313
    47  10111250     42.34   42.36   42.33   42.34     69026
    48  10111255     42.34   42.37   42.34   42.37     48036
    49  10111300     42.37   42.38   42.34   42.37     61631
    50  10111305     42.36   42.38   42.35   42.38     60521
    51  10111310     42.38   42.39   42.37   42.39     77534
    52  10111315     42.39   42.39   42.37   42.38     46717
    53  10111320     42.38   42.39   42.37   42.38     36108
    54  10111325     42.38   42.39   42.37   42.37     32992
    55  10111330     42.37   42.38   42.36   42.37     40902
    56  10111335     42.37   42.38   42.36   42.38     44837
    57  10111340     42.38   42.39   42.37   42.39     46356
    58  10111345     42.39   42.40   42.37   42.39     64625
