Date,Open,High,Low,Close,Volume
10110900,42.14,42.15,42.12,42.12,5235
10110905,42.12,42.13,42.11,42.12,7441
10110910,42.12,42.14,42.12,42.12,4268
10110915,42.12,42.12,42.11,42.12,4012
10110920,42.11,42.12,42.09,42.1,13081
10110925,42.09,42.12,42.07,42.11,12244
10110930,42.11,42.32,42.11,42.24,1024460
10110935,42.25,42.38,42.23,42.33,544871
10110940,42.34,42.37,42.27,42.3,406701
10110945,42.3,42.31,42.18,42.2,398542
10110950,42.21,42.27,42.14,42.26,369892
10110955,42.26,42.31,42.24,42.31,331917
10111000,42.3,42.37,42.29,42.31,406755
10111005,42.31,42.39,42.3,42.34,330723
10111010,42.34,42.34,42.27,42.3,282759
10111015,42.3,42.35,42.29,42.34,245214
10111020,42.34,42.41,42.33,42.4,386289
10111025,42.41,42.45,42.38,42.41,499939
10111030,42.41,42.43,42.32,42.34,289884
10111035,42.34,42.36,42.33,42.36,146426
10111040,42.36,42.39,42.34,42.35,167136
10111045,42.34,42.34,42.24,42.25,358209
10111050,42.25,42.28,42.23,42.25,187720
10111055,42.25,42.31,42.24,42.29,175859
10111100,42.29,42.33,42.27,42.3,121743
10111105,42.3,42.31,42.26,42.3,110676
10111110,42.3,42.32,42.27,42.31,152959
10111115,42.31,42.33,42.29,42.3,102585
10111120,42.29,42.35,42.29,42.33,103329
10111125,42.33,42.35,42.31,42.32,87080
10111130,42.32,42.35,42.32,42.33,96513
10111135,42.33,42.37,42.32,42.36,163193
10111140,42.36,42.36,42.31,42.32,95047
10111145,42.32,42.34,42.3,42.31,75630
10111150,42.31,42.32,42.29,42.3,88797
10111155,42.3,42.31,42.27,42.3,137364
10111200,42.3,42.31,42.28,42.3,85083
10111205,42.3,42.31,42.27,42.29,87150
10111210,42.29,42.33,42.28,42.33,76532
10111215,42.32,42.34,42.3,42.33,67645
10111220,42.34,42.34,42.31,42.33,57929
10111225,42.34,42.35,42.32,42.34,50145
10111230,42.33,42.36,42.32,42.35,62073
10111235,42.35,42.4,42.34,42.37,124242
10111240,42.37,42.38,42.36,42.37,52218
10111245,42.37,42.37,42.34,42.34,67313
10111250,42.34,42.36,42.33,42.34,69026
10111255,42.34,42.37,42.34,42.37,48036
10111300,42.37,42.38,42.34,42.37,61631
10111305,42.36,42.38,42.35,42.38,60521
10111310,42.38,42.39,42.37,42.39,77534
10111315,42.39,42.39,42.37,42.38,46717
10111320,42.38,42.39,42.37,42.38,36108
10111325,42.38,42.39,42.37,42.37,32992
10111330,42.37,42.38,42.36,42.37,40902
10111335,42.37,42.38,42.36,42.38,44837
10111340,42.38,42.39,42.37,42.39,46356
10111345,42.39,42.4,42.37,42.39,64625
10111350,42.39,42.42,42.38,42.42,166269
10111355,42.41,42.42,42.39,42.4,78475
10111400,42.41,42.41,42.39,42.39,80707
10111405,42.39,42.4,42.38,42.4,58202
10111410,42.39,42.39,42.37,42.38,81160
10111415,42.37,42.4,42.37,42.38,65981
10111420,42.38,42.39,42.37,42.39,72978
10111425,42.39,42.39,42.38,42.39,42225
10111430,42.39,42.41,42.37,42.41,138851
10111435,42.41,42.43,42.41,42.43,199822
10111440,42.43,42.46,42.42,42.46,278415
10111445,42.46,42.46,42.42,42.44,229682
10111450,42.44,42.45,42.4,42.43,183782
10111455,42.43,42.44,42.41,42.42,120333
10111500,42.42,42.44,42.41,42.42,85978
10111505,42.42,42.44,42.42,42.43,65594
10111510,42.43,42.43,42.32,42.34,344651
10111515,42.34,42.37,42.33,42.34,254061
10111520,42.34,42.36,42.29,42.29,233775
10111525,42.29,42.31,42.23,42.24,339002
10111530,42.24,42.26,42.16,42.16,433317
10111535,42.16,42.22,42.15,42.17,376163
10111540,42.17,42.19,42.09,42.19,435432
10111545,42.18,42.25,42.15,42.23,269115
10111550,42.24,42.24,42.21,42.22,247342
10111555,42.22,42.22,42.16,42.19,375616
10111600,42.21,42.27,42.19,42.27,470020
10111605,42.26,42.26,42.19,42.25,9350
10111610,42.25,42.3,42.23,42.23,2460
10111615,42.23,42.24,42.22,42.24,3513
10111620,42.24,42.24,42.24,42.24,860
10111625,42.23,42.24,42.23,42.23,860
10111630,42.24,42.24,42.22,42.22,720
10111635,42.22,42.22,42.22,42.22,1108
10111640,42.22,42.3,42.21,42.22,22952
10111645,42.21,42.21,42.21,42.21,1713
10111650,42.21,42.21,42.21,42.21,420
10111655,42.21,42.21,42.21,42.21,111
10120900,42.29,42.29,42.26,42.26,6858
10120905,42.26,42.28,42.25,42.26,9993
10120910,42.26,42.29,42.25,42.27,5900
10120915,42.28,42.3,42.28,42.3,11372
10120920,42.29,42.31,42.25,42.25,13197
10120925,42.25,42.25,42.19,42.2,12200
10120930,42.2,42.32,42.11,42.26,678757
10120935,42.26,42.38,42.23,42.31,619514
10120940,42.31,42.32,42.23,42.24,397968
10120945,42.24,42.24,41.9,41.93,894665
10120950,41.93,41.98,41.78,41.91,892055
