Xaxis0,yaxis
-0.056831120902424814,1.0
-0.04382807307934924,1.0
-0.03982713528763368,1.0
-0.035826197495918116,3.0
-0.033825728600060334,2.0
-0.03282549415213144,2.0
-0.029824790808344773,3.0
-0.028824556360415882,2.0
-0.02782432191248699,3.0
-0.026824087464558104,3.0
-0.025823853016629213,3.0
-0.02482361856870032,4.0
-0.02382338412077143,5.0
-0.02282314967284254,1.0
-0.02182291522491365,8.0
-0.020822680776984757,3.0
-0.019822446329055866,5.0
-0.018822211881126982,7.0
-0.01782197743319809,7.0
-0.0168217429852692,11.0
-0.01582150853734031,8.0
-0.014821274089411418,14.0
-0.013821039641482527,12.0
-0.012820805193553636,13.0
-0.011820570745624745,20.0
-0.010820336297695854,13.0
-0.009820101849766963,25.0
-0.008819867401838072,23.0
-0.007819632953909188,33.0
-0.006819398505980297,34.0
-0.005819164058051406,41.0
-0.004818929610122515,45.0
-0.0038186951621936235,48.0
-0.0028184607142647325,60.0
-0.0018182262663358414,63.0
-0.0008179918184069504,79.0
0.00018224262952194065,66.0
0.0011824770774508317,74.0
0.002182711525379716,62.0
0.003182945973308607,59.0
0.004183180421237498,46.0
0.005183414869166389,53.0
0.00618364931709528,47.0
0.007183883765024171,31.0
0.008184118212953062,28.0
0.009184352660881953,28.0
0.010184587108810844,26.0
0.011184821556739735,20.0
0.012185056004668626,19.0
0.013185290452597517,15.0
0.014185524900526408,15.0
0.0151857593484553,6.0
0.01618599379638419,9.0
0.01718622824431308,4.0
0.01818646269224196,9.0
0.01918669714017085,7.0
0.02018693158809974,5.0
0.021187166036028632,3.0
0.022187400483957523,1.0
0.023187634931886414,5.0
0.025188103827744196,4.0
0.026188338275673087,2.0
0.027188572723601978,1.0
0.02818880717153087,2.0
0.03218974496324643,2.0
0.033189979411175324,1.0
0.04219208944253533,1.0
