oid,filter,mjd,mag,magerr,clrcoeff
821207100004043,zr,58216.24757,20.746628,0.18857956,0.11911006
821207100004043,zr,58217.27683,20.513767,0.16889691,0.11226958
821207100004043,zr,58217.29974,20.798056,0.19292653,0.115112655
821207100004043,zr,58217.34188,20.700895,0.18471408,0.11482482
821207100004043,zr,58217.35627,20.485947,0.16633731,0.11850975
821207100004043,zr,58217.36009,20.777132,0.19115794,0.12162437
821207100004043,zr,58218.28834,20.540718,0.171175,0.12087113
821207100004043,zr,58218.31102,20.636166,0.17924273,0.119446844
821207100004043,zr,58218.33541,20.602875,0.1764288,0.11931511
821207100004043,zr,58218.37567,20.588642,0.17522573,0.123164505
821207100004043,zr,58218.37756,20.902275,0.20173573,0.12907061
821207100004043,zr,58218.44638,20.963478,0.20690894,0.124043435
821207100004043,zr,58219.22371,20.724606,0.1867181,0.119848736
821207100004043,zr,58219.26962,20.8498,0.19730031,0.12615262
821207100004043,zr,58219.33977,20.587532,0.17513192,0.12593791
821207100004043,zr,58219.37336,20.714834,0.18589222,0.12525213
821207100004043,zr,58222.29983,20.666847,0.18183613,0.12295213
821207100004043,zr,58222.37701,20.75721,0.18947399,0.12484996
821107100005285,zg,58223.32267,20.967909,0.21672189,-0.082628936
821207100004043,zr,58223.40245,20.50071,0.16779327,0.12494953
821207100004043,zr,58224.27243,20.608646,0.1769166,0.12539975
821207100004043,zr,58224.27477,20.381447,0.15574254,0.12948541
821207100004043,zr,58226.27112,20.658789,0.18115497,0.110621236
821207100004043,zr,58226.28608,20.817825,0.1945976,0.11812347
821207100004043,zr,58226.3099,20.507195,0.1683414,0.121197805
821207100004043,zr,58226.33155,20.587393,0.17512012,0.12116997
821207100004043,zr,58227.26678,20.566551,0.17335856,0.12548181
821207100004043,zr,58227.28961,20.658363,0.18111897,0.13266793
821107100005285,zg,58227.31414,20.705572,0.1940608,-0.03558389
821107100005285,zg,58227.32127,20.988098,0.21846592,-0.033217993
821207100004043,zr,58230.26533,20.647947,0.1802386,0.1151464
821107100005285,zg,58230.34828,20.689487,0.1926713,-0.11701576
821107100005285,zg,58230.34921,20.753815,0.198228,-0.1212155
821107100005285,zg,58230.35103,20.862377,0.20760596,-0.11656352
821107100005285,zg,58230.37062,20.770233,0.19964635,-0.10931997
821207100004043,zr,58231.2657,20.53271,0.17049801,0.12635995
821207100004043,zr,58231.32321,20.56242,0.17300928,0.12448641
821207100004043,zr,58231.34249,20.391232,0.1567255,0.13721532
821107100005285,zg,58231.39381,20.806143,0.2027483,-0.07820816
821307100004794,zi,58232.32685,20.105747,0.14630511,0.18867868
821207100004043,zr,58233.20393,20.312027,0.1488399,0.111914776
821207100004043,zr,58233.20492,20.483921,0.16613023,0.117599346
821107100005285,zg,58233.30291,20.76165,0.19890487,-0.05930003
821107100005285,zg,58234.25581,20.344126,0.16074705,-0.06587409
821107100005285,zg,58236.24243,20.315762,0.15792626,-0.04397931
821207100004043,zr,58242.30103,20.574673,0.17404497,0.11617005
821207100004043,zr,58242.3253,20.410904,0.15870827,0.11153032
821207100004043,zr,58242.32976,20.422686,0.15989952,0.12656944
821207100004043,zr,58242.33077,20.459564,0.16364509,0.12465554
821107100005285,zg,58242.38456,20.343094,0.16064414,-0.10051269
821207100004043,zr,58243.17931,20.437365,0.16138762,0.09242526
821207100004043,zr,58243.28133,20.463245,0.16402018,0.11787076
821207100004043,zr,58243.30541,20.343885,0.15199113,0.11933391
821207100004043,zr,58243.30926,20.15301,0.1336208,0.12236256
821107100005285,zg,58244.24538,20.455528,0.17191526,-0.11372461
821207100004043,zr,58244.3049,20.316605,0.14929087,0.12728111
821207100004043,zr,58244.3389,20.519007,0.16933978,0.12463662
821207100004043,zr,58246.24303,20.387974,0.15639785,0.13693678
821207100004043,zr,58246.26157,19.998144,0.119777635,0.1393432
821207100004043,zr,58246.26248,20.258865,0.14365146,0.14147854
821107100005285,zg,58246.30725,20.401724,0.16650969,-0.0464894
821107100005285,zg,58246.30817,20.44055,0.17040963,-0.0568677
821107100005285,zg,58246.35299,20.430975,0.16944735,-0.044226266
821107100005285,zg,58247.30738,20.502548,0.17652321,-0.063307054
821107100005285,zg,58248.22033,20.678017,0.19168043,-0.08509535
821107100005285,zg,58248.22124,20.7942,0.20171666,-0.079788655
821107100005285,zg,58248.22216,20.3442,0.16075441,-0.07847469
821207100004043,zr,58248.2661,20.177258,0.13588035,0.13245673
821207100004043,zr,58248.27992,20.264927,0.14423844,0.13336085
821207100004043,zr,58248.28176,20.183046,0.13642326,0.12582572
821207100004043,zr,58248.28408,20.455132,0.16319376,0.13036726
821207100004043,zr,58248.31336,20.26878,0.14461213,0.13440818
821107100005285,zg,58248.32433,20.564045,0.18183541,-0.055323776
821107100005285,zg,58248.34028,20.683033,0.19211376,-0.053654842
821107100005285,zg,58249.22453,20.472383,0.17360882,-0.027774634
821107100005285,zg,58255.20693,20.326195,0.15896219,-0.10520937
821107100005285,zg,58255.22606,20.29308,0.1556815,-0.10500504
821107100005285,zg,58255.22697,20.367651,0.16309601,-0.10638668
821107100005285,zg,58255.22789,20.372036,0.16353461,-0.097800195
821207100004043,zr,58256.26773,20.21613,0.13955092,0.11768697
821207100004043,zr,58257.26016,19.973011,0.11763207,0.13328171
821207100004043,zr,58257.28797,20.063053,0.12545192,0.1259943
821207100004043,zr,58258.22026,20.124195,0.13096674,0.12825704
821207100004043,zr,58258.22391,20.067669,0.1258626,0.12935214
821207100004043,zr,58260.20886,20.005764,0.12043394,0.12271444
821307100004794,zi,58261.20231,19.740564,0.114990085,0.19274572
821207100004043,zr,58262.30537,20.13169,0.13165383,0.13357256
821307100004794,zi,58263.33319,19.860119,0.12484069,0.19102111
821107100005285,zg,58266.20626,20.197052,0.14631382,-0.030377436
821207100004043,zr,58266.26833,19.968267,0.1172304,0.12224879
821207100004043,zr,58266.28214,20.187037,0.13679835,0.12872994
821207100004043,zr,58266.30152,20.022076,0.121847495,0.11647944
821107100005285,zg,58267.19825,20.037016,0.13135418,-0.033721667
821307100004794,zi,58267.24465,19.719757,0.113326915,0.18555105
821207100004043,zr,58267.30477,19.56521,0.08698363,0.12942493
821207100004043,zr,58269.17218,19.750828,0.099956825,0.12910229
821207100004043,zr,58269.19772,19.823215,0.10545799,0.13002191
821107100005285,zg,58269.24927,19.931961,0.122079335,-0.039299075
821107100005285,zg,58269.25023,19.801987,0.11127627,-0.0442021
821207100004043,zr,58269.35249,19.876354,0.10965521,0.10401684
821107100005285,zg,58270.24837,20.49176,0.1755542,-0.02054064
821207100004043,zr,58270.30999,19.905914,0.112048015,0.10078973
821207100004043,zr,58270.32855,19.758244,0.10050892,0.11266315
821207100004043,zr,58270.34525,19.91383,0.11269577,0.08912779
821207100004043,zr,58271.1744,19.789331,0.102851875,0.09965464
821107100005285,zg,58272.21852,20.010036,0.12892807,-0.06965058
821307100004794,zi,58272.34565,19.711784,0.11269395,0.19217283
821207100004043,zr,58276.28501,19.744762,0.09950721,0.09807989
821307100004794,zi,58277.18096,19.685308,0.11060923,0.18712741
821107100005285,zg,58279.22549,19.956837,0.12423295,-0.12160818
821207100004043,zr,58279.26246,19.785275,0.10254344,0.09761917
821307100004794,zi,58282.17785,19.630571,0.106385,0.1903859
821207100004043,zr,58282.22498,19.675352,0.09448647,0.11743782
821107100005285,zg,58282.26589,19.94228,0.122969426,-0.09440073
821307100004794,zi,58286.17861,19.752405,0.11594358,0.19002627
821107100005285,zg,58288.22354,19.784653,0.10989384,-0.08800154
821207100004043,zr,58288.26086,19.54726,0.08581409,0.11133651
821307100004794,zi,58290.18403,19.63692,0.10686895,0.19044796
821207100004043,zr,58291.24589,19.50545,0.0831466,0.11456994
821107100005285,zg,58292.20307,19.579277,0.094580404,-0.039609917
821107100005285,zg,58292.22559,19.512836,0.09004575,-0.057475
821207100004043,zr,58292.24342,19.567493,0.08713342,0.13265668
821207100004043,zr,58292.25677,19.501505,0.08289902,0.12039176
821207100004043,zr,58292.28286,19.469929,0.08094225,0.11027096
821107100005285,zg,58292.34143,19.895975,0.119012,-0.061602965
821107100005285,zg,58294.20268,19.759226,0.10789122,-0.10999183
821207100004043,zr,58294.23954,19.43896,0.07906608,0.11799208
821107100005285,zg,58295.19703,19.55008,0.0925626,-0.03911494
821107100005285,zg,58295.22274,19.767735,0.108558044,-0.036272455
821207100004043,zr,58295.24321,19.35517,0.074199185,0.12602869
821207100004043,zr,58295.26066,19.5421,0.085480645,0.10851857
821207100004043,zr,58295.27811,19.537855,0.08520712,0.112279244
821307100004794,zi,58295.32275,19.57154,0.10196303,0.17949465
821107100005285,zg,58297.20135,19.58995,0.0953279,-0.096421465
821107100005285,zg,58300.2226,19.695732,0.10302212,-0.10962147
821207100004043,zr,58300.32029,19.312672,0.07184483,0.10595741
821307100004794,zi,58302.18345,19.282724,0.08240702,0.1937176
821107100005285,zg,58303.20645,19.606453,0.096493915,-0.09413617
821207100004043,zr,58306.17955,19.33494,0.07306905,0.13656147
821107100005285,zg,58306.2242,19.588236,0.095207416,-0.10125761
821207100004043,zr,58312.19988,19.16268,0.06412261,0.11970821
821207100004043,zr,58316.23488,19.2259,0.06726843,0.110664934
821107100005285,zg,58319.1793,19.267853,0.07503372,-0.024519768
821107100005285,zg,58319.20373,19.397465,0.082647525,-0.014231265
821207100004043,zr,58319.21445,19.189972,0.06546154,0.12471014
821207100004043,zr,58319.23221,19.1738,0.064664684,0.1191455
821207100004043,zr,58319.25869,19.205322,0.06622733,0.11490777
821307100004794,zi,58320.21809,19.02963,0.068094976,0.19367187
821107100005285,zg,58321.17886,19.382812,0.0817504,-0.014504163
821207100004043,zr,58321.21588,19.191639,0.06554429,0.11128635
821207100004043,zr,58324.17853,19.213139,0.06662081,0.10658293
